player_name,team_id,team_name,full_name
o'brien-whitmarsh,17,Southampton,O'Brien-Whitmarsh
welington,17,Southampton,Welington
kayi sanda,17,Southampton,Kayi Sanda
grønbæk,17,Southampton,Grønbæk
jurić,17,Southampton,Jurić
solanke,18,Spurs,Solanke
a.phillips,18,Spurs,A.Phillips
austin,18,Spurs,Austin
bentancur,18,Spurs,Bentancur
bergvall,18,Spurs,Bergvall
bissouma,18,Spurs,Bissouma
bryan,18,Spurs,Bryan
davies,18,Spurs,Davies
devine,18,Spurs,Devine
dragusin,18,Spurs,Dragusin
e.royal,18,Spurs,E.Royal
forster,18,Spurs,Forster
gray,18,Spurs,Gray
højbjerg,18,Spurs,Højbjerg
johnson,18,Spurs,Johnson
kulusevski,18,Spurs,Kulusevski
lo celso,18,Spurs,Lo Celso
maddison,18,Spurs,Maddison
pedro porro,18,Spurs,Pedro Porro
reguilón,18,Spurs,Reguilón
richarlison,18,Spurs,Richarlison
romero,18,Spurs,Romero
p.m.sarr,18,Spurs,P.M.Sarr
scarlett,18,Spurs,Scarlett
solomon,18,Spurs,Solomon
son,18,Spurs,Son
spence,18,Spurs,Spence
udogie,18,Spurs,Udogie
van de ven,18,Spurs,Van de Ven
veliz,18,Spurs,Veliz
vicario,18,Spurs,Vicario
werner,18,Spurs,Werner
whiteman,18,Spurs,Whiteman
lankshear,18,Spurs,Lankshear
moore,18,Spurs,Moore
odobert,18,Spurs,Odobert
olusesi,18,Spurs,Olusesi
hardy,18,Spurs,Hardy
williams-barnett,18,Spurs,Williams-Barnett
dorrington,18,Spurs,Dorrington
king,18,Spurs,King
kinsky,18,Spurs,Kinsky
yang,18,Spurs,Yang
ajayi,18,Spurs,Ajayi
postecoglou,18,Spurs,Postecoglou
wan-bissaka,19,West Ham,Wan-Bissaka
álvarez,19,West Ham,Álvarez
antonio,19,West Ham,Antonio
areola,19,West Ham,Areola
bowen,19,West Ham,Bowen
coufal,19,West Ham,Coufal
cresswell,19,West Ham,Cresswell
earthy,19,West Ham,Earthy
emerson,19,West Ham,Emerson
fabianski,19,West Ham,Fabianski
foderingham,19,West Ham,Foderingham
ings,19,West Ham,Ings
kilman,19,West Ham,Kilman
kudus,19,West Ham,Kudus
l.guilherme,19,West Ham,L.Guilherme
l.paquetá,19,West Ham,L.Paquetá
mavropanos,19,West Ham,Mavropanos
n.aguerd,19,West Ham,N.Aguerd
souček,19,West Ham,Souček
zouma,19,West Ham,Zouma
irving,19,West Ham,Irving
summerville,19,West Ham,Summerville
g.rodríguez,19,West Ham,G.Rodríguez
füllkrug,19,West Ham,Füllkrug
todibo,19,West Ham,Todibo
casey,19,West Ham,Casey
c.soler,19,West Ham,C.Soler
scarles,19,West Ham,Scarles
mayers,19,West Ham,Mayers
orford,19,West Ham,Orford
potter,19,West Ham,Potter
johnstone,20,Wolves,Johnstone
aït-nouri,20,Wolves,Aït-Nouri
b.traore,20,Wolves,B.Traore
bellegarde,20,Wolves,Bellegarde
bentley,20,Wolves,Bentley
chiquinho,20,Wolves,Chiquinho
chirewa,20,Wolves,Chirewa
chiwome,20,Wolves,Chiwome
cundle,20,Wolves,Cundle
cunha,20,Wolves,Cunha
dawson,20,Wolves,Dawson
doherty,20,Wolves,Doherty
doyle,20,Wolves,Doyle
fábio silva,20,Wolves,Fábio Silva
fraser,20,Wolves,Fraser
gonzalez,20,Wolves,Gonzalez
guedes,20,Wolves,Guedes
h.bueno,20,Wolves,H.Bueno
hee chan,20,Wolves,Hee Chan
hodge,20,Wolves,Hodge
hoever,20,Wolves,Hoever
j.gomes,20,Wolves,J.Gomes
josé sá,20,Wolves,José Sá
kalajdžić,20,Wolves,Kalajdžić
king,20,Wolves,King
mario jr.,20,Wolves,Mario Jr.
mosquera,20,Wolves,Mosquera
n.semedo,20,Wolves,N.Semedo
pedro lima,20,Wolves,Pedro Lima
podence,20,Wolves,Podence
r.gomes,20,Wolves,R.Gomes
s.bueno,20,Wolves,S.Bueno
sarabia,20,Wolves,Sarabia
strand larsen,20,Wolves,Strand Larsen
toti,20,Wolves,Toti
meupiyou,20,Wolves,Meupiyou
andré,20,Wolves,André
forbs,20,Wolves,Forbs
pond,20,Wolves,Pond
edozie,20,Wolves,Edozie
okoduwa,20,Wolves,Okoduwa
agbadou,20,Wolves,Agbadou
pereira,20,Wolves,Pereira
